SHEHIA,MdnTrCv,PrcBldC,Bushbaby,Vervet.Monkey,Bats,Hyrax,Rats.Mice,Small.Cats,Large.Cats,Shrews,Elephant.Shrews,Blue.Monkey,Red.Colobus,Pouched.Rat,Mongoose.B.T,Mongoose.Slender,Mongoose.Banded,Genet,African.Civet,Bushpig,Duiker.Aders,Duiker.Blue,Duiker.Suni,Zanj.Sun.Squirrel,Red.Bush.Squirrel,biodiversity
Kwagoa,40,23.85290275,,,,,,,,,,,,,,,,,,,,,,,,
Kwagube,20,2.400926207,2,0,3,0,3,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,3,0,6
Kwahani,0,52.17116976,,,,,,,,,,,,,,,,,,,,,,,,
Kwamchina,0,37.66134457,,,,,,,,,,,,,,,,,,,,,,,,
Kwamtipura,0,58.67321764,,,,,,,,,,,,,,,,,,,,,,,,
KwamtumwaJeni,0,32.82295867,,,,,,,,,,,,,,,,,,,,,,,,
kwarara,40,11.26764372,,,,,,,,,,,,,,,,,,,,,,,,
kwarara,0,29.07376275,,,,,,,,,,,,,,,,,,,,,,,,
KwaWazee,0,35.19714443,,,,,,,,,,,,,,,,,,,,,,,,
Machui,60,1.276083117,3,0,3,0,3,0,0,2,0,0,0,3,1,1,1,0,1,0,0,0,0,3,0,10
Machui,60,1.276083117,3,0,3,0,3,0,0,2,0,0,0,3,1,1,1,0,1,0,0,0,0,3,0,10
Mafufuni,0,1.161357127,3,0,3,0,3,0,0,3,0,0,0,3,2,2,2,0,0,0,0,0,0,0,3,9
Magogoni,0,38.04330445,,,,,,,,,,,,,,,,,,,,,,,,
Magomeni,0,31.81110111,,,,,,,,,,,,,,,,,,,,,,,,
Mahonda,0,4.136284023,3,0,3,0,3,0,0,3,0,0,0,3,3,3,3,0,2,0,0,0,0,3,3,11
Majenzi,30,0.507647693,3,0,2,0,2,0,0,2,0,0,0,3,2,2,2,0,1,0,0,0,0,3,2,11
Makadara,0,52.97529909,,,,,,,,,,,,,,,,,,,,,,,,
Makoba,0,2.126769521,3,2,2,0,3,0,0,3,0,0,0,3,1,1,1,0,0,0,0,0,0,3,3,11
Malindi,0,36.96432361,,,,,,,,,,,,,,,,,,,,,,,,
Mambosasa,0,26.70916623,2,0,3,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,5
Mangapwani,80,1.932260577,3,0,2,0,3,0,0,3,3,0,0,3,2,2,2,0,0,0,0,0,0,3,3,11
Mapinduzi,0,41.33468464,,,,,,,,,,,,,,,,,,,,,,,,
Maruhubi,40,28.76426841,,,,,,,,,,,,,,,,,,,,,,,,
Marumbi,60,0.714109177,3,0,3,2,3,1,0,3,3,3,2,3,3,3,3,1,1,1,1,2,0,3,3,20
Marumbi,60,0.714109177,3,0,3,2,3,1,0,3,3,3,2,3,3,3,3,1,1,1,1,2,0,3,3,20
