SHEHIA,MdnTrCv,PrcBldC,Bushbaby,Vervet.Monkey,Bats,Hyrax,Rats.Mice,Small.Cats,Large.Cats,Shrews,Elephant.Shrews,Blue.Monkey,Red.Colobus,Pouched.Rat,Mongoose.B.T,Mongoose.Slender,Mongoose.Banded,Genet,African.Civet,Bushpig,Duiker.Aders,Duiker.Blue,Duiker.Suni,Zanj.Sun.Squirrel,Red.Bush.Squirrel,hunt_diversity
Mfenesini,30,608.0445129,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
Mgambo,50,61.49658368,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,3,0,0,4
Mgenihaji,90,130.9883332,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mgenihaji,90,130.9883332,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Michamvi,70,114.1859376,0,3,0,0,2,0,0,0,2,0,0,3,0,0,0,0,0,3,3,3,3,3,0,9
Michamvi,70,114.1859376,0,3,0,0,2,0,0,0,2,0,0,3,0,0,0,0,0,3,3,3,3,3,0,9
Michamvi,70,114.1859376,0,3,0,0,2,0,0,0,2,0,0,3,0,0,0,0,0,3,3,3,3,3,0,9
Michungwani,0,1709.855404,,,,,,,,,,,,,,,,,,,,,,,,
Miembeni,40,2530.174761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Migombani,70,1168.049086,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
Mikarafuuni,,3878.538796,,,,,,,,,,,,,,,,,,,,,,,,
Mikunguni,0,4433.80593,,,,,,,,,,,,,,,,,,,,,,,,
Misufini,20,193.5697758,0,0,2,0,1,2,0,0,0,2,1,3,0,0,0,0,3,0,3,3,0,0,0,9
Mitakawani,90,161.3655008,,,,,,,,,,,,,,,,,,,,,,,,
Mitakawani,90,161.3655008,,,,,,,,,,,,,,,,,,,,,,,,
Mitiulaya,0,4659.890031,,,,,,,,,,,,,,,,,,,,,,,,
Miwani,60,88.06938738,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2
Miwani,60,88.06938738,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2
Mkadini,50,733.383109,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
Mkataleni,0,315.6748137,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2
Mkele,0,3648.829695,,,,,,,,,,,,,,,,,,,,,,,,
Mkokotoni,60,292.8503862,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mkunazini,30,2670.680574,,,,,,,,,,,,,,,,,,,,,,,,
Mkwajuni,50,432.1573071,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
Mlandege,0,4096.062234,,,,,,,,,,,,,,,,,,,,,,,,
Mnarani,0,3649.758235,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2
MnaziMmoja,40,1093.22327,,,,,,,,,,,,,,,,,,,,,,,,
Mnyimbi,0,113.359059,0,0,0,0,2,2,0,2,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,5
Moga,50,181.3826501,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,3,0,0,3,3,3,0,3,7
Mombasa,0,2976.321809,,,,,,,,,,,,,,,,,,,,,,,,
Mpapa,30,557.1439638,,,,,,,,,,,,,,,,,,,,,,,,
Mpapa,30,557.1439638,,,,,,,,,,,,,,,,,,,,,,,,
Mpendae,0,2433.593198,,,,,,,,,,,,,,,,,,,,,,,,
Mtakuja,80,163.8745025,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,3
